date,hour,season,weathersit,weekday,workingday,holiday,weekend,registered,casual,total
2011-01-02,4,Spring,Misty/Cloudy,0,0,0,1,1,2,3
2011-01-02,6,Spring,Light Precipitation,0,0,0,1,2,0,2
2011-01-02,7,Spring,Misty/Cloudy,0,0,0,1,1,0,1
2011-01-02,8,Spring,Light Precipitation,0,0,0,1,8,0,8
2011-01-02,9,Spring,Misty/Cloudy,0,0,0,1,19,1,20
2011-01-02,10,Spring,Misty/Cloudy,0,0,0,1,46,7,53
2011-01-02,11,Spring,Misty/Cloudy,0,0,0,1,54,16,70
2011-01-02,12,Spring,Misty/Cloudy,0,0,0,1,73,20,93
2011-01-02,13,Spring,Misty/Cloudy,0,0,0,1,64,11,75
2011-01-02,14,Spring,Light Precipitation,0,0,0,1,55,4,59
2011-01-02,15,Spring,Light Precipitation,0,0,0,1,55,19,74
2011-01-02,16,Spring,Light Precipitation,0,0,0,1,67,9,76
2011-01-02,17,Spring,Clear/Cloudy,0,0,0,1,58,7,65
2011-01-02,18,Spring,Misty/Cloudy,0,0,0,1,43,10,53
2011-01-02,19,Spring,Clear/Cloudy,0,0,0,1,29,1,30
2011-01-02,20,Spring,Clear/Cloudy,0,0,0,1,17,5,22
2011-01-02,21,Spring,Clear/Cloudy,0,0,0,1,20,11,31
2011-01-02,22,Spring,Clear/Cloudy,0,0,0,1,9,0,9
2011-01-02,23,Spring,Clear/Cloudy,0,0,0,1,8,0,8
2011-01-03,0,Spring,Clear/Cloudy,1,1,0,0,5,0,5
2011-01-03,1,Spring,Clear/Cloudy,1,1,0,0,2,0,2
2011-01-03,4,Spring,Clear/Cloudy,1,1,0,0,1,0,1
2011-01-03,5,Spring,Clear/Cloudy,1,1,0,0,3,0,3
2011-01-03,6,Spring,Clear/Cloudy,1,1,0,0,30,0,30
2011-01-03,7,Spring,Clear/Cloudy,1,1,0,0,63,1,64
2011-01-03,8,Spring,Clear/Cloudy,1,1,0,0,153,1,154
2011-01-03,9,Spring,Clear/Cloudy,1,1,0,0,81,7,88
2011-01-03,10,Spring,Clear/Cloudy,1,1,0,0,33,11,44
2011-01-03,11,Spring,Clear/Cloudy,1,1,0,0,41,10,51
2011-01-03,12,Spring,Clear/Cloudy,1,1,0,0,48,13,61
2011-01-03,13,Spring,Clear/Cloudy,1,1,0,0,53,8,61
2011-01-03,14,Spring,Clear/Cloudy,1,1,0,0,66,11,77
2011-01-03,15,Spring,Clear/Cloudy,1,1,0,0,58,14,72
2011-01-03,16,Spring,Clear/Cloudy,1,1,0,0,67,9,76
2011-01-03,17,Spring,Clear/Cloudy,1,1,0,0,146,11,157
2011-01-03,18,Spring,Clear/Cloudy,1,1,0,0,148,9,157
2011-01-03,19,Spring,Clear/Cloudy,1,1,0,0,102,8,110
2011-01-03,20,Spring,Clear/Cloudy,1,1,0,0,49,3,52
2011-01-03,21,Spring,Clear/Cloudy,1,1,0,0,49,3,52
2011-01-03,22,Spring,Clear/Cloudy,1,1,0,0,20,0,20
2011-01-03,23,Spring,Clear/Cloudy,1,1,0,0,11,1,12
2011-01-04,0,Spring,Clear/Cloudy,2,1,0,0,5,0,5
2011-01-04,1,Spring,Clear/Cloudy,2,1,0,0,2,0,2
2011-01-04,2,Spring,Clear/Cloudy,2,1,0,0,1,0,1
2011-01-04,4,Spring,Clear/Cloudy,2,1,0,0,2,0,2
2011-01-04,5,Spring,Clear/Cloudy,2,1,0,0,4,0,4
2011-01-04,6,Spring,Clear/Cloudy,2,1,0,0,36,0,36
2011-01-04,7,Spring,Clear/Cloudy,2,1,0,0,92,2,94
2011-01-04,8,Spring,Clear/Cloudy,2,1,0,0,177,2,179
2011-01-04,9,Spring,Clear/Cloudy,2,1,0,0,98,2,100
2011-01-04,10,Spring,Misty/Cloudy,2,1,0,0,37,5,42
2011-01-04,11,Spring,Clear/Cloudy,2,1,0,0,50,7,57
2011-01-04,12,Spring,Clear/Cloudy,2,1,0,0,66,12,78
2011-01-04,13,Spring,Clear/Cloudy,2,1,0,0,79,18,97
2011-01-04,14,Spring,Clear/Cloudy,2,1,0,0,54,9,63
2011-01-04,15,Spring,Clear/Cloudy,2,1,0,0,48,17,65
2011-01-04,16,Spring,Clear/Cloudy,2,1,0,0,68,15,83
2011-01-04,17,Spring,Clear/Cloudy,2,1,0,0,202,10,212
2011-01-04,18,Spring,Clear/Cloudy,2,1,0,0,179,3,182
2011-01-04,19,Spring,Clear/Cloudy,2,1,0,0,110,2,112
2011-01-04,20,Spring,Clear/Cloudy,2,1,0,0,53,1,54
2011-01-04,21,Spring,Clear/Cloudy,2,1,0,0,48,0,48
2011-01-04,22,Spring,Clear/Cloudy,2,1,0,0,34,1,35
2011-01-04,23,Spring,Clear/Cloudy,2,1,0,0,9,2,11
2011-01-05,0,Spring,Clear/Cloudy,3,1,0,0,6,0,6
2011-01-05,1,Spring,Clear/Cloudy,3,1,0,0,6,0,6
2011-01-05,2,Spring,Clear/Cloudy,3,1,0,0,2,0,2
2011-01-05,4,Spring,Clear/Cloudy,3,1,0,0,2,0,2
2011-01-05,5,Spring,Clear/Cloudy,3,1,0,0,3,0,3
2011-01-05,6,Spring,Clear/Cloudy,3,1,0,0,33,0,33
2011-01-05,7,Spring,Clear/Cloudy,3,1,0,0,87,1,88
2011-01-05,8,Spring,Clear/Cloudy,3,1,0,0,192,3,195
2011-01-05,9,Spring,Clear/Cloudy,3,1,0,0,109,6,115
2011-01-05,10,Spring,Clear/Cloudy,3,1,0,0,53,4,57
2011-01-05,11,Spring,Clear/Cloudy,3,1,0,0,34,12,46
2011-01-05,12,Spring,Clear/Cloudy,3,1,0,0,74,5,79
2011-01-05,13,Spring,Clear/Cloudy,3,1,0,0,65,6,71
2011-01-05,14,Spring,Clear/Cloudy,3,1,0,0,52,10,62
2011-01-05,15,Spring,Clear/Cloudy,3,1,0,0,55,7,62
2011-01-05,16,Spring,Clear/Cloudy,3,1,0,0,85,4,89
2011-01-05,17,Spring,Clear/Cloudy,3,1,0,0,186,4,190
2011-01-05,18,Spring,Clear/Cloudy,3,1,0,0,166,3,169
2011-01-05,19,Spring,Clear/Cloudy,3,1,0,0,127,5,132
2011-01-05,20,Spring,Clear/Cloudy,3,1,0,0,82,7,89
2011-01-05,21,Spring,Clear/Cloudy,3,1,0,0,40,3,43
2011-01-05,22,Spring,Clear/Cloudy,3,1,0,0,41,1,42
2011-01-05,23,Spring,Clear/Cloudy,3,1,0,0,18,1,19
2011-01-06,0,Spring,Clear/Cloudy,4,1,0,0,11,0,11
2011-01-06,1,Spring,Clear/Cloudy,4,1,0,0,4,0,4
2011-01-06,2,Spring,Clear/Cloudy,4,1,0,0,2,0,2
2011-01-06,4,Spring,Misty/Cloudy,4,1,0,0,1,0,1
2011-01-06,5,Spring,Misty/Cloudy,4,1,0,0,4,0,4
2011-01-06,6,Spring,Misty/Cloudy,4,1,0,0,36,0,36
2011-01-06,7,Spring,Misty/Cloudy,4,1,0,0,95,0,95
2011-01-06,8,Spring,Clear/Cloudy,4,1,0,0,216,3,219
2011-01-06,9,Spring,Misty/Cloudy,4,1,0,0,116,6,122
2011-01-06,10,Spring,Clear/Cloudy,4,1,0,0,42,3,45
2011-01-06,11,Spring,Clear/Cloudy,4,1,0,0,57,2,59
2011-01-06,12,Spring,Clear/Cloudy,4,1,0,0,78,6,84
2011-01-06,13,Spring,Clear/Cloudy,4,1,0,0,55,12,67
2011-01-06,14,Spring,Clear/Cloudy,4,1,0,0,59,11,70
2011-01-06,15,Spring,Clear/Cloudy,4,1,0,0,54,8,62
2011-01-06,16,Spring,Clear/Cloudy,4,1,0,0,74,12,86
2011-01-06,17,Spring,Clear/Cloudy,4,1,0,0,163,9,172
2011-01-06,18,Spring,Clear/Cloudy,4,1,0,0,158,5,163
2011-01-06,19,Spring,Clear/Cloudy,4,1,0,0,109,3,112
2011-01-06,20,Spring,Clear/Cloudy,4,1,0,0,66,3,69
2011-01-06,21,Spring,Misty/Cloudy,4,1,0,0,48,0,48
2011-01-06,22,Spring,Misty/Cloudy,4,1,0,0,51,1,52
2011-01-06,23,Spring,Misty/Cloudy,4,1,0,0,19,4,23
2011-01-07,0,Spring,Misty/Cloudy,5,1,0,0,13,4,17
2011-01-07,1,Spring,Misty/Cloudy,5,1,0,0,5,2,7
2011-01-07,2,Spring,Misty/Cloudy,5,1,0,0,1,0,1
2011-01-07,4,Spring,Misty/Cloudy,5,1,0,0,1,0,1
2011-01-07,5,Spring,Light Precipitation,5,1,0,0,5,0,5
2011-01-07,6,Spring,Misty/Cloudy,5,1,0,0,26,8,34
2011-01-07,7,Spring,Clear/Cloudy,5,1,0,0,76,8,84
2011-01-07,8,Spring,Clear/Cloudy,5,1,0,0,190,20,210
2011-01-07,9,Spring,Clear/Cloudy,5,1,0,0,125,9,134
2011-01-07,10,Spring,Clear/Cloudy,5,1,0,0,47,16,63
2011-01-07,11,Spring,Misty/Cloudy,5,1,0,0,48,19,67
2011-01-07,12,Spring,Misty/Cloudy,5,1,0,0,50,9,59
2011-01-07,13,Spring,Misty/Cloudy,5,1,0,0,64,9,73
2011-01-07,14,Spring,Misty/Cloudy,5,1,0,0,43,7,50
2011-01-07,15,Spring,Misty/Cloudy,5,1,0,0,63,9,72
2011-01-07,16,Spring,Misty/Cloudy,5,1,0,0,82,5,87
2011-01-07,17,Spring,Misty/Cloudy,5,1,0,0,178,9,187
2011-01-07,18,Spring,Clear/Cloudy,5,1,0,0,116,7,123
2011-01-07,19,Spring,Clear/Cloudy,5,1,0,0,92,3,95
2011-01-07,20,Spring,Clear/Cloudy,5,1,0,0,50,1,51
2011-01-07,21,Spring,Clear/Cloudy,5,1,0,0,39,0,39
2011-01-07,22,Spring,Misty/Cloudy,5,1,0,0,34,2,36
2011-01-07,23,Spring,Misty/Cloudy,5,1,0,0,14,1,15
2011-01-08,0,Spring,Misty/Cloudy,6,0,0,1,24,1,25
2011-01-08,1,Spring,Misty/Cloudy,6,0,0,1,15,1,16
2011-01-08,2,Spring,Misty/Cloudy,6,0,0,1,13,3,16
2011-01-08,3,Spring,Light Precipitation,6,0,0,1,7,0,7
2011-01-08,4,Spring,Light Precipitation,6,0,0,1,1,0,1
2011-01-08,5,Spring,Misty/Cloudy,6,0,0,1,5,0,5
2011-01-08,6,Spring,Misty/Cloudy,6,0,0,1,2,0,2
2011-01-08,7,Spring,Misty/Cloudy,6,0,0,1,8,1,9
2011-01-08,8,Spring,Light Precipitation,6,0,0,1,15,0,15
2011-01-08,9,Spring,Light Precipitation,6,0,0,1,20,0,20
2011-01-08,10,Spring,Misty/Cloudy,6,0,0,1,56,5,61
2011-01-08,11,Spring,Misty/Cloudy,6,0,0,1,60,2,62
2011-01-08,12,Spring,Misty/Cloudy,6,0,0,1,90,8,98
2011-01-08,13,Spring,Clear/Cloudy,6,0,0,1,95,7,102
2011-01-08,14,Spring,Clear/Cloudy,6,0,0,1,83,12,95
2011-01-08,15,Spring,Clear/Cloudy,6,0,0,1,69,5,74
2011-01-08,16,Spring,Clear/Cloudy,6,0,0,1,68,8,76
2011-01-08,17,Spring,Clear/Cloudy,6,0,0,1,64,5,69
2011-01-08,18,Spring,Clear/Cloudy,6,0,0,1,52,3,55
2011-01-08,19,Spring,Clear/Cloudy,6,0,0,1,26,4,30
2011-01-08,20,Spring,Clear/Cloudy,6,0,0,1,28,0,28
2011-01-08,21,Spring,Clear/Cloudy,6,0,0,1,35,2,37
2011-01-08,22,Spring,Clear/Cloudy,6,0,0,1,33,1,34
2011-01-08,23,Spring,Clear/Cloudy,6,0,0,1,22,0,22
2011-01-09,0,Spring,Clear/Cloudy,0,0,0,1,24,1,25
2011-01-09,1,Spring,Clear/Cloudy,0,0,0,1,12,0,12
2011-01-09,2,Spring,Clear/Cloudy,0,0,0,1,11,0,11
2011-01-09,3,Spring,Clear/Cloudy,0,0,0,1,4,0,4
2011-01-09,4,Spring,Clear/Cloudy,0,0,0,1,1,0,1
2011-01-09,5,Spring,Clear/Cloudy,0,0,0,1,1,0,1
2011-01-09,6,Spring,Clear/Cloudy,0,0,0,1,1,0,1
2011-01-09,7,Spring,Clear/Cloudy,0,0,0,1,5,1,6
2011-01-09,8,Spring,Clear/Cloudy,0,0,0,1,10,0,10
2011-01-09,9,Spring,Clear/Cloudy,0,0,0,1,19,0,19
2011-01-09,10,Spring,Clear/Cloudy,0,0,0,1,49,0,49
2011-01-09,11,Spring,Clear/Cloudy,0,0,0,1,47,2,49
2011-01-09,12,Spring,Clear/Cloudy,0,0,0,1,79,4,83
2011-01-09,13,Spring,Clear/Cloudy,0,0,0,1,69,6,75
2011-01-09,14,Spring,Clear/Cloudy,0,0,0,1,64,8,72
2011-01-09,15,Spring,Clear/Cloudy,0,0,0,1,77,5,82
2011-01-09,16,Spring,Clear/Cloudy,0,0,0,1,79,13,92
2011-01-09,17,Spring,Clear/Cloudy,0,0,0,1,59,3,62
2011-01-09,18,Spring,Clear/Cloudy,0,0,0,1,44,4,48
2011-01-09,19,Spring,Clear/Cloudy,0,0,0,1,40,1,41
2011-01-09,20,Spring,Clear/Cloudy,0,0,0,1,38,0,38
2011-01-09,21,Spring,Clear/Cloudy,0,0,0,1,19,1,20
2011-01-09,22,Spring,Clear/Cloudy,0,0,0,1,10,5,15
2011-01-09,23,Spring,Clear/Cloudy,0,0,0,1,6,0,6
2011-01-10,0,Spring,Clear/Cloudy,1,1,0,0,3,2,5
2011-01-10,1,Spring,Clear/Cloudy,1,1,0,0,0,1,1
2011-01-10,2,Spring,Clear/Cloudy,1,1,0,0,3,0,3
2011-01-10,3,Spring,Clear/Cloudy,1,1,0,0,1,0,1
2011-01-10,4,Spring,Clear/Cloudy,1,1,0,0,2,1,3
2011-01-10,5,Spring,Clear/Cloudy,1,1,0,0,3,0,3
2011-01-10,6,Spring,Clear/Cloudy,1,1,0,0,31,0,31
2011-01-10,7,Spring,Clear/Cloudy,1,1,0,0,75,2,77
2011-01-10,8,Spring,Misty/Cloudy,1,1,0,0,184,4,188
2011-01-10,9,Spring,Misty/Cloudy,1,1,0,0,92,2,94
2011-01-10,10,Spring,Misty/Cloudy,1,1,0,0,31,0,31
2011-01-10,11,Spring,Misty/Cloudy,1,1,0,0,28,2,30
2011-01-10,12,Spring,Misty/Cloudy,1,1,0,0,47,5,52
2011-01-10,13,Spring,Misty/Cloudy,1,1,0,0,50,4,54
2011-01-10,14,Spring,Misty/Cloudy,1,1,0,0,47,0,47
2011-01-10,15,Spring,Misty/Cloudy,1,1,0,0,43,2,45
2011-01-10,16,Spring,Clear/Cloudy,1,1,0,0,70,4,74
2011-01-10,17,Spring,Clear/Cloudy,1,1,0,0,174,4,178
2011-01-10,18,Spring,Clear/Cloudy,1,1,0,0,154,1,155
2011-01-10,19,Spring,Clear/Cloudy,1,1,0,0,92,3,95
2011-01-10,20,Spring,Clear/Cloudy,1,1,0,0,73,1,74
2011-01-10,21,Spring,Clear/Cloudy,1,1,0,0,37,1,38
2011-01-10,22,Spring,Clear/Cloudy,1,1,0,0,22,2,24
2011-01-10,23,Spring,Clear/Cloudy,1,1,0,0,18,0,18
2011-01-11,0,Spring,Clear/Cloudy,2,1,0,0,10,2,12
2011-01-11,1,Spring,Clear/Cloudy,2,1,0,0,3,0,3
2011-01-11,2,Spring,Misty/Cloudy,2,1,0,0,3,0,3
2011-01-11,5,Spring,Misty/Cloudy,2,1,0,0,6,0,6
2011-01-11,6,Spring,Misty/Cloudy,2,1,0,0,27,0,27
2011-01-11,7,Spring,Misty/Cloudy,2,1,0,0,97,2,99
2011-01-11,8,Spring,Misty/Cloudy,2,1,0,0,214,3,217
2011-01-11,9,Spring,Misty/Cloudy,2,1,0,0,127,3,130
2011-01-11,10,Spring,Misty/Cloudy,2,1,0,0,51,3,54
2011-01-11,11,Spring,Misty/Cloudy,2,1,0,0,31,4,35
2011-01-11,12,Spring,Misty/Cloudy,2,1,0,0,55,2,57
2011-01-11,13,Spring,Misty/Cloudy,2,1,0,0,46,6,52
2011-01-11,14,Spring,Misty/Cloudy,2,1,0,0,60,3,63
2011-01-11,15,Spring,Misty/Cloudy,2,1,0,0,45,2,47
2011-01-11,16,Spring,Misty/Cloudy,2,1,0,0,72,4,76
2011-01-11,17,Spring,Misty/Cloudy,2,1,0,0,130,6,136
2011-01-11,18,Spring,Light Precipitation,2,1,0,0,94,1,95
2011-01-11,19,Spring,Light Precipitation,2,1,0,0,51,0,51
2011-01-11,20,Spring,Light Precipitation,2,1,0,0,32,0,32
2011-01-11,21,Spring,Light Precipitation,2,1,0,0,20,0,20
2011-01-11,22,Spring,Light Precipitation,2,1,0,0,28,1,29
2011-01-11,23,Spring,Light Precipitation,2,1,0,0,18,1,19
2011-01-12,0,Spring,Misty/Cloudy,3,1,0,0,7,0,7
2011-01-12,1,Spring,Misty/Cloudy,3,1,0,0,6,0,6
2011-01-12,2,Spring,Clear/Cloudy,3,1,0,0,1,0,1
2011-01-12,5,Spring,Clear/Cloudy,3,1,0,0,5,0,5
2011-01-12,6,Spring,Clear/Cloudy,3,1,0,0,16,0,16
2011-01-12,7,Spring,Clear/Cloudy,3,1,0,0,54,0,54
2011-01-12,8,Spring,Clear/Cloudy,3,1,0,0,125,3,128
2011-01-12,9,Spring,Clear/Cloudy,3,1,0,0,78,3,81
2011-01-12,10,Spring,Clear/Cloudy,3,1,0,0,39,0,39
2011-01-12,11,Spring,Clear/Cloudy,3,1,0,0,32,3,35
2011-01-12,12,Spring,Clear/Cloudy,3,1,0,0,52,3,55
2011-01-12,13,Spring,Clear/Cloudy,3,1,0,0,49,0,49
2011-01-12,14,Spring,Clear/Cloudy,3,1,0,0,44,0,44
2011-01-12,15,Spring,Clear/Cloudy,3,1,0,0,48,1,49
2011-01-12,16,Spring,Clear/Cloudy,3,1,0,0,63,5,68
2011-01-12,17,Spring,Clear/Cloudy,3,1,0,0,139,0,139
2011-01-12,18,Spring,Clear/Cloudy,3,1,0,0,135,2,137
2011-01-12,19,Spring,Clear/Cloudy,3,1,0,0,82,1,83
2011-01-12,20,Spring,Clear/Cloudy,3,1,0,0,54,2,56
2011-01-12,21,Spring,Clear/Cloudy,3,1,0,0,57,0,57
2011-01-12,22,Spring,Clear/Cloudy,3,1,0,0,32,1,33
2011-01-12,23,Spring,Clear/Cloudy,3,1,0,0,19,1,20
2011-01-13,0,Spring,Clear/Cloudy,4,1,0,0,6,1,7
2011-01-13,1,Spring,Clear/Cloudy,4,1,0,0,2,0,2
2011-01-13,2,Spring,Clear/Cloudy,4,1,0,0,2,0,2
2011-01-13,3,Spring,Clear/Cloudy,4,1,0,0,3,0,3
2011-01-13,4,Spring,Clear/Cloudy,4,1,0,0,4,0,4
2011-01-13,5,Spring,Clear/Cloudy,4,1,0,0,3,0,3
2011-01-13,6,Spring,Clear/Cloudy,4,1,0,0,28,0,28
2011-01-13,7,Spring,Clear/Cloudy,4,1,0,0,72,0,72
2011-01-13,8,Spring,Clear/Cloudy,4,1,0,0,197,5,202
2011-01-13,9,Spring,Clear/Cloudy,4,1,0,0,137,2,139
2011-01-13,10,Spring,Misty/Cloudy,4,1,0,0,36,2,38
2011-01-13,11,Spring,Misty/Cloudy,4,1,0,0,33,4,37
2011-01-13,12,Spring,Clear/Cloudy,4,1,0,0,49,3,52
2011-01-13,13,Spring,Clear/Cloudy,4,1,0,0,81,2,83
2011-01-13,14,Spring,Clear/Cloudy,4,1,0,0,39,3,42
2011-01-13,15,Spring,Clear/Cloudy,4,1,0,0,55,5,60
2011-01-13,16,Spring,Clear/Cloudy,4,1,0,0,76,2,78
2011-01-13,17,Spring,Clear/Cloudy,4,1,0,0,158,4,162
2011-01-13,18,Spring,Clear/Cloudy,4,1,0,0,141,3,144
2011-01-13,19,Spring,Clear/Cloudy,4,1,0,0,98,1,99
2011-01-13,20,Spring,Clear/Cloudy,4,1,0,0,64,0,64
2011-01-13,21,Spring,Clear/Cloudy,4,1,0,0,40,0,40
2011-01-13,22,Spring,Clear/Cloudy,4,1,0,0,30,0,30
2011-01-13,23,Spring,Clear/Cloudy,4,1,0,0,14,1,15
2011-01-14,0,Spring,Clear/Cloudy,5,1,0,0,14,0,14
2011-01-14,1,Spring,Clear/Cloudy,5,1,0,0,5,0,5
2011-01-14,2,Spring,Clear/Cloudy,5,1,0,0,1,0,1
2011-01-14,3,Spring,Clear/Cloudy,5,1,0,0,1,0,1
2011-01-14,5,Spring,Clear/Cloudy,5,1,0,0,8,0,8
2011-01-14,6,Spring,Clear/Cloudy,5,1,0,0,17,0,17
2011-01-14,7,Spring,Clear/Cloudy,5,1,0,0,70,0,70
2011-01-14,8,Spring,Clear/Cloudy,5,1,0,0,156,2,158
2011-01-14,9,Spring,Clear/Cloudy,5,1,0,0,117,0,117
2011-01-14,10,Spring,Clear/Cloudy,5,1,0,0,40,4,44
2011-01-14,11,Spring,Clear/Cloudy,5,1,0,0,47,6,53
2011-01-14,12,Spring,Clear/Cloudy,5,1,0,0,59,2,61
2011-01-14,13,Spring,Clear/Cloudy,5,1,0,0,73,4,77
2011-01-14,14,Spring,Clear/Cloudy,5,1,0,0,59,5,64
2011-01-14,15,Spring,Clear/Cloudy,5,1,0,0,59,9,68
2011-01-14,16,Spring,Clear/Cloudy,5,1,0,0,87,3,90
2011-01-14,17,Spring,Clear/Cloudy,5,1,0,0,155,4,159
2011-01-14,18,Spring,Clear/Cloudy,5,1,0,0,134,5,139
2011-01-14,19,Spring,Clear/Cloudy,5,1,0,0,89,3,92
2011-01-14,20,Spring,Clear/Cloudy,5,1,0,0,68,0,68
2011-01-14,21,Spring,Clear/Cloudy,5,1,0,0,48,4,52
2011-01-14,22,Spring,Misty/Cloudy,5,1,0,0,34,2,36
2011-01-14,23,Spring,Misty/Cloudy,5,1,0,0,26,1,27
2011-01-15,0,Spring,Clear/Cloudy,6,0,0,1,25,3,28
2011-01-15,1,Spring,Misty/Cloudy,6,0,0,1,18,2,20
2011-01-15,2,Spring,Misty/Cloudy,6,0,0,1,12,0,12
2011-01-15,3,Spring,Misty/Cloudy,6,0,0,1,7,1,8
2011-01-15,4,Spring,Misty/Cloudy,6,0,0,1,5,0,5
2011-01-15,5,Spring,Clear/Cloudy,6,0,0,1,1,0,1
2011-01-15,6,Spring,Clear/Cloudy,6,0,0,1,2,1,3
2011-01-15,7,Spring,Clear/Cloudy,6,0,0,1,9,1,10
2011-01-15,8,Spring,Clear/Cloudy,6,0,0,1,22,1,23
2011-01-15,9,Spring,Clear/Cloudy,6,0,0,1,31,2,33
2011-01-15,10,Spring,Clear/Cloudy,6,0,0,1,57,2,59
2011-01-15,11,Spring,Clear/Cloudy,6,0,0,1,54,18,72
2011-01-15,12,Spring,Clear/Cloudy,6,0,0,1,74,15,89
2011-01-15,13,Spring,Clear/Cloudy,6,0,0,1,80,21,101
2011-01-15,14,Spring,Clear/Cloudy,6,0,0,1,92,26,118
2011-01-15,15,Spring,Misty/Cloudy,6,0,0,1,108,21,129
2011-01-15,16,Spring,Misty/Cloudy,6,0,0,1,95,33,128
2011-01-15,17,Spring,Misty/Cloudy,6,0,0,1,54,29,83
2011-01-15,18,Spring,Misty/Cloudy,6,0,0,1,69,15,84
2011-01-15,19,Spring,Misty/Cloudy,6,0,0,1,60,14,74
2011-01-15,20,Spring,Misty/Cloudy,6,0,0,1,35,6,41
2011-01-15,21,Spring,Misty/Cloudy,6,0,0,1,51,6,57
2011-01-15,22,Spring,Misty/Cloudy,6,0,0,1,26,0,26
2011-01-15,23,Spring,Clear/Cloudy,6,0,0,1,39,5,44
2011-01-16,0,Spring,Clear/Cloudy,0,0,0,1,33,6,39
2011-01-16,1,Spring,Clear/Cloudy,0,0,0,1,19,4,23
2011-01-16,2,Spring,Clear/Cloudy,0,0,0,1,13,3,16
2011-01-16,3,Spring,Clear/Cloudy,0,0,0,1,6,9,15
2011-01-16,4,Spring,Clear/Cloudy,0,0,0,1,1,0,1
2011-01-16,5,Spring,Misty/Cloudy,0,0,0,1,1,1,2
2011-01-16,6,Spring,Misty/Cloudy,0,0,0,1,1,0,1
2011-01-16,7,Spring,Misty/Cloudy,0,0,0,1,3,0,3
2011-01-16,8,Spring,Clear/Cloudy,0,0,0,1,18,0,18
2011-01-16,9,Spring,Clear/Cloudy,0,0,0,1,29,3,32
2011-01-16,10,Spring,Clear/Cloudy,0,0,0,1,71,8,79
2011-01-16,11,Spring,Clear/Cloudy,0,0,0,1,70,23,93
2011-01-16,12,Spring,Clear/Cloudy,0,0,0,1,75,29,104
2011-01-16,13,Spring,Clear/Cloudy,0,0,0,1,95,23,118
2011-01-16,14,Spring,Clear/Cloudy,0,0,0,1,69,22,91
2011-01-16,15,Spring,Clear/Cloudy,0,0,0,1,78,35,113
2011-01-16,16,Spring,Clear/Cloudy,0,0,0,1,77,22,99
2011-01-16,17,Spring,Clear/Cloudy,0,0,0,1,82,23,105
2011-01-16,18,Spring,Clear/Cloudy,0,0,0,1,56,11,67
2011-01-16,19,Spring,Clear/Cloudy,0,0,0,1,47,14,61
2011-01-16,20,Spring,Clear/Cloudy,0,0,0,1,50,7,57
2011-01-16,21,Spring,Clear/Cloudy,0,0,0,1,22,6,28
2011-01-16,22,Spring,Misty/Cloudy,0,0,0,1,19,2,21
2011-01-16,23,Spring,Misty/Cloudy,0,0,0,1,18,0,18
2011-01-17,0,Spring,Misty/Cloudy,1,0,1,0,16,1,17
2011-01-17,1,Spring,Misty/Cloudy,1,0,1,0,15,1,16
2011-01-17,2,Spring,Misty/Cloudy,1,0,1,0,8,0,8
2011-01-17,3,Spring,Misty/Cloudy,1,0,1,0,2,0,2
2011-01-17,4,Spring,Misty/Cloudy,1,0,1,0,2,1,3
